,event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,Origin,Proximity Flag
456,2016-03-27 19:43:00.000,2016-03-27 19:48:00.000,2016-03-27 19:50:00.000,B4.8,2524,SSW,False
457,2016-03-28 02:18:00.000,2016-03-28 02:28:00.000,2016-03-28 02:32:00.000,C2.1,2524,SSW,False
458,2016-03-28 02:54:00.000,2016-03-28 02:59:00.000,2016-03-28 03:04:00.000,B3.3,2526,SSW,True
459,2016-03-28 07:52:00.000,2016-03-28 07:57:00.000,2016-03-28 08:10:00.000,B3.7,2526,SSW,False
460,2016-03-28 18:38:00.000,2016-03-28 18:44:00.000,2016-03-28 19:00:00.000,B3.4,2524,SSW,False
461,2016-03-28 23:41:00.000,2016-03-28 23:47:00.000,2016-03-28 23:56:00.000,B2.4,12524,GOES,False
462,2016-03-28 23:41:00.000,2016-03-28 23:45:00.000,2016-03-28 23:47:00.000,B2.4,2524,SSW,True
463,2016-03-29 03:47:00.000,2016-03-29 03:59:00.000,2016-03-29 04:09:00.000,B2.6,2524,SSW,False
464,2016-03-29 14:48:00.000,2016-03-29 14:56:00.000,2016-03-29 15:10:00.000,B3.5,2524,SSW,False
465,2016-03-30 16:04:00.000,2016-03-30 16:11:00.000,2016-03-30 16:16:00.000,B1.5,2526,SSW,False
