,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Peak Time NoSub,Peak Time,Background End Time,Fancy Temp,Fancy EM,Fancy Tdelta,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Tdelta 1/8,Temp 1/6,EM 1/6,Tdelta 1/6,Temp 1/4,EM 1/4,Tdelta 1/4,Temp 1/3,EM 1/3,Tdelta 1/3,Temp 1/2,EM 1/2,Tdelta 1/2,Temp 2/3,EM 2/3,Tdelta 2/3,Temp 3/4,EM 3/4,Tdelta 3/4
20,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,560.235072,-254.683464,0,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,2016-01-07 01:46:10,8.650794510497834,3.4754090203827986e+46,58.0,9.937868983748228,2.15389022813022e+47,10.377088057971859,1.9995727446101958e+47,11.003107285537663,2.15389022813022e+47,10.36052046710543,4.09996617028723e+45,16.218875,9.490634922313342,6.800160715347235e+45,21.625167,8.852360744843871,1.1931955172160072e+46,32.43775,8.421993074364805,1.9326220805229182e+46,43.250333,8.907446514393653,4.035863068726568e+46,64.8755,9.780568626800235,6.247131618315521e+46,86.50066699999999,10.041142748488769,7.466654039623482e+46,97.31325
21,2016-01-07 02:39:00.000,2016-01-07 02:42:00.000,2016-01-07 02:44:00.000,B7.0,-950.63682,47.9447946,2480,2016-01-07 02:42:11.511,2016-01-07 02:42:11.511,2016-01-07 02:42:11.511,2016-01-07 02:39:40,11.578677871064635,1.3954672389138198e+46,58.0,10.517742027172753,3.0965782518141484e+47,10.636182525210314,2.98073257744439e+47,11.112200314269304,3.0965782518141484e+47,,,18.938875,,,25.251833,,,37.87775,18.028076971571796,1.9254255266173005e+45,50.503667,10.99081224737813,4.227925047520038e+46,75.7555,10.79880347678921,8.507380162694109e+46,101.007333,10.852065255099795,1.0221213285397462e+47,113.63325
22,2016-01-07 03:48:00.000,2016-01-07 03:52:00.000,2016-01-07 03:59:00.000,B8.1,-946.7367,49.022328,2480,2016-01-07 03:52:09.925,2016-01-07 03:52:09.925,2016-01-07 03:52:09.925,2016-01-07 03:49:40,11.941470964771344,1.1959622022154963e+46,58.0,10.221779261544384,2.491347930750059e+47,11.025881093275387,2.0430594137530797e+47,11.24275383477968,2.491347930750059e+47,14.545837408712945,4.4884245660454085e+45,18.740625,13.327278785476256,5.2773226180890025e+45,24.9875,12.614488410010292,7.208227835010132e+45,37.48125,12.244655738365452,9.28228924195013e+45,49.975,10.990814711135453,1.976171229887699e+46,74.9625,10.908936285139884,4.229924587825695e+46,99.95,10.9572499931083,5.705119946773871e+46,112.44375
23,2016-01-07 06:11:00.000,2016-01-07 06:17:00.000,2016-01-07 06:23:00.000,C1.0,-933.8856,18.2206416,2480,2016-01-07 06:17:20.075,2016-01-07 06:17:20.075,2016-01-07 06:17:20.075,2016-01-07 06:12:00,9.692953913305463,2.0083475390066914e+47,100.0,9.34419176921124,5.8087841311402444e+47,9.956035353066527,5.14231663915257e+47,10.24573484136201,5.8087841311402444e+47,,,40.009375,,,53.345833,,,80.01875,,,106.691667,7.844955037716259,4.5585259313803525e+46,160.0375,9.40294199257905,1.074440365337235e+47,213.383333,9.645935753542865,1.4406197126593373e+47,240.05625
24,2016-01-07 12:36:00.000,2016-01-07 12:39:00.000,2016-01-07 12:41:00.000,B4.3,-923.34654,37.4643336,2480,2016-01-07 12:38:44.268,2016-01-07 12:38:44.268,2016-01-07 12:38:44.268,2016-01-07 12:37:40,7.842210382166444,9.175818098483522e+46,58.0,8.858199874882228,1.441440548180145e+47,9.352151152466003,1.2865023035960855e+47,9.352151152466003,1.441440548180145e+47,,,8.0335,3.433368214254399,3.2190270282796207e+47,10.711333,6.971608615831119,4.596950806302425e+46,16.067,7.860940203534983,4.2334831255217073e+46,21.422667,7.320232506740473,6.252639329418708e+46,32.134,7.182769485718952,8.078525423438487e+46,42.845333,7.413030469738823,8.433964120093415e+46,48.201
25,2016-01-08 00:04:00.000,2016-01-08 00:21:00.000,2016-01-08 00:28:00.000,B4.2,766.41636,-283.90833,2481,2016-01-08 00:21:55.028,2016-01-08 00:21:55.028,2016-01-08 00:21:55.028,2016-01-08 00:17:20,37.5889011232488,nan,38.0,7.091960739196977,1.2582727816037202e+47,12.206325455309036,5.056265069082588e+46,25.003932883123067,1.2582727816037202e+47,21.28090654144529,,34.3785,,,45.838,10.103700452647743,3.805596928810775e+45,68.757,10.482929680297163,8.851135817496991e+45,91.676,10.519623656226772,1.8786510117261303e+46,137.514,10.608817977594942,2.6059344646793403e+46,183.352,10.76904553302701,2.8796834450069567e+46,206.271
26,2016-01-08 04:09:00.000,2016-01-08 04:14:00.000,2016-01-08 04:18:00.000,B4.5,783.88548,-285.469044,2481,2016-01-08 04:13:04.141,2016-01-08 04:13:04.141,2016-01-08 04:13:04.141,2016-01-08 04:10:00,8.779828278561883,6.437381029698097e+45,18.0,9.4674802390725,1.5781717548395772e+47,10.59494868493761,1.269140243752219e+47,15.495776135190912,1.5781717548395772e+47,8.118894544915218,7.282695727365577e+45,23.017625,8.974161318131223,6.438930730541992e+45,30.690167,9.467733428264422,6.811169309253698e+45,46.03525,11.275035048953983,7.088854508104577e+45,61.380333,11.182570517018384,1.6692194198267993e+46,92.0705,10.863799226724186,3.552868699127778e+46,122.760667,10.764045917233123,4.405899530819281e+46,138.10575
27,2016-01-08 11:23:00.000,2016-01-08 11:31:00.000,2016-01-08 11:41:00.000,B8.6,34.173561,98.861808,2482,2016-01-08 11:30:51.671,2016-01-08 11:30:51.671,2016-01-08 11:30:51.671,2016-01-08 11:21:40,9.006636687183684,2.6654027818894426e+47,40.0,8.689307496078946,5.3317265493883e+47,9.601639215496446,3.990079143770621e+47,9.68778890106457,5.389571633510284e+47,12.435226238114339,9.489492793397362e+45,68.958875,11.871947596212387,1.2629466323909593e+46,91.945167,10.308887020327942,2.1228138321603937e+46,137.91775,9.51257262791024,3.243731698445877e+46,183.890333,8.853681080298651,6.498612677216805e+46,275.8355,8.901651611337925,1.0961004379848847e+47,367.780667,8.995410081452162,1.335983422387949e+47,413.75325
28,2016-01-10 17:09:00.000,2016-01-10 17:13:00.000,2016-01-10 17:17:00.000,B4.2,-323.50602,315.378738,2483,2016-01-10 17:13:43.281,2016-01-10 17:13:43.281,2016-01-10 17:13:43.281,2016-01-10 17:10:20,8.64652839414032,4.0236165513406134e+46,68.0,7.931168885695914,1.6850208877594181e+47,8.921097760178231,1.3190835395930133e+47,9.912775329507346,1.6850208877594181e+47,9.885428033740236,1.3773401331861383e+46,25.410125,9.299603688241406,1.7918906073982272e+46,33.880167,9.267138096581775,2.630833794270195e+46,50.82025,8.724425969063555,3.7684004828037047e+46,67.760333,8.678167963057879,5.237708408448902e+46,101.6405,8.623482224035428,6.568493918386402e+46,135.520667,8.64328141395811,7.178422095954737e+46,152.46075
29,2016-01-11 11:18:00.000,2016-01-11 11:21:00.000,2016-01-11 11:24:00.000,B4.0,963.66108,-6.0292386,0,2016-01-11 11:21:45.288,2016-01-11 11:21:45.288,2016-01-11 11:21:45.288,2016-01-11 11:19:00,13.381268229673585,3.731768212031179e+45,28.0,8.652244181890962,1.964082687808623e+47,9.196828744591853,1.6780055949969885e+47,14.307715605921526,1.993712725459267e+47,16.03115168360086,3.082429167973413e+45,20.661,13.554786653546918,3.582360857953171e+45,27.548000000000002,12.35393221891648,4.832451020992768e+45,41.322,10.972276011441387,8.4980018565007e+45,55.096,8.84537219154526,2.1332022563508961e+46,82.644,8.411386654537145,4.072293161565315e+46,110.192,8.347091213376512,5.075582169307343e+46,123.966
30,2016-01-11 17:00:00.000,2016-01-11 17:14:00.000,2016-01-11 17:33:00.000,B4.4,-153.038412,120.927024,2480,2016-01-11 17:11:35.078,2016-01-11 17:11:35.078,2016-01-11 17:11:35.078,2016-01-11 17:06:30,13.564300204956302,9.714709939424924e+45,78.0,9.816651835397085,5.134217580209487e+46,12.493767467893756,3.441278735471495e+46,12.740734678967383,1.0272346690634689e+47,14.475580929832343,6.035540720280609e+45,38.13475,15.096425517408594,6.791699768216099e+45,50.846333,13.709532710671175,9.191386215116561e+45,76.2695,12.627853415118125,1.1892120127035854e+46,101.692667,11.633209991214624,1.7601116980757014e+46,152.539,10.748054841372657,2.2832198567825572e+46,203.385333,10.50266943231037,2.4862201855860087e+46,228.8085
31,2016-01-11 20:41:00.000,2016-01-11 21:14:00.000,2016-01-11 21:36:00.000,B4.9,-102.388524,87.690276,2480,2016-01-11 21:11:24.305,2016-01-11 21:11:24.305,2016-01-11 21:11:24.305,2016-01-11 21:11:10,nan,nan,10.305,,,,,,,,,1.788125,19.330728638472177,1.2447749543359382e+45,2.384167,19.330728638472177,1.2447749543359382e+45,3.57625,,,4.768333,,,7.1525,,,9.536667,,,10.72875
32,2016-01-12 09:03:00.000,2016-01-12 09:07:00.000,2016-01-12 09:12:00.000,B6.8,16.430988,338.379024,2483,2016-01-12 09:07:21.145,2016-01-12 09:07:21.145,2016-01-12 09:07:21.145,2016-01-12 09:04:00,nan,nan,,11.053710495476603,3.018608386099987e+47,11.237376517277461,2.9112443723061674e+47,,,20.155160501714633,1.213034755137802e+45,25.143125,19.420686987265842,1.0197049268402247e+45,33.524167,18.265457838092434,8.189751329741042e+44,50.28625,17.281949961074957,9.077457942486714e+44,67.048333,12.529849813618434,2.7353960452444565e+45,100.5725,10.529085701500286,1.5236100361770971e+46,134.096667,10.599961426721599,3.0194218729605825e+46,150.85875
33,2016-01-12 13:39:00.000,2016-01-12 13:53:00.000,2016-01-12 14:09:00.000,B5.3,17.0950746,89.333202,2480,2016-01-12 13:53:23.238,2016-01-12 13:53:23.238,2016-01-12 13:53:23.238,2016-01-12 13:45:40,8.03242587330479,2.566189943169235e+46,38.0,8.169582740107536,2.699654269805852e+47,9.148425543548706,2.2118002748329462e+47,10.618807670046769,2.699654269805852e+47,7.406971830192832,3.2760200230488087e+46,57.90475,7.571855176703599,3.6300939301578105e+46,77.206333,7.922803664096083,4.350561446754661e+46,115.8095,8.46114504040008,4.809618997577473e+46,154.412667,8.931161837776232,6.177285645878322e+46,231.619,9.12359457173497,7.924778468062265e+46,308.825333,9.133459867907105,8.792356232477864e+46,347.4285
34,2016-01-13 11:13:00.000,2016-01-13 11:22:00.000,2016-01-13 11:27:00.000,B2.5,236.378292,139.643058,2480,2016-01-13 11:20:47.521,2016-01-13 11:20:47.521,2016-01-13 11:20:47.521,2016-01-13 11:19:40,13.20506621282771,7.368960015128212e+45,58.0,3.6239452477683303,2.4618430092172086e+47,,,8.716168513803977,2.4618430092172086e+47,,,8.440125,6.988489813274277,1.3190137998183066e+46,11.2535,11.48040469917888,6.160476409716821e+45,16.88025,12.727586289077827,5.712629192914013e+45,22.507,13.0203755102593,6.406715889235189e+45,33.7605,13.166046749943247,6.907475263614805e+45,45.014,12.979479541309644,7.114905752946488e+45,50.64075
