,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Time NoSub,Peak Time,Fancy Temp,Fancy EM,Peak Temp,Peak EM,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4,Flare Max Temp,Flare Max EM,Fancy Onset,Flare Peak EM
24,2016-01-07 12:36:00.000,2016-01-07 12:39:00.000,2016-01-07 12:41:00.000,B4.3,-923.34654,37.4643336,2480,2016-01-07 12:38:44.268,2016-01-07 12:37:40,,,2016-01-07 12:38:44.268,2016-01-07 12:38:44.268,7.678643909419915,1.0620519387871611e+47,8.858199874882228,1.441440548180145e+47,"(4.568436341782635, 1.084778774746147e+47)","(5.4430453113284285, 8.569849350881348e+46)","(7.290917901104355, 6.251206347211758e+46)","(7.920674010637732, 5.707436983041674e+46)","(7.483357122370277, 8.103245970567202e+46)","(7.338554493413812, 9.728060018852182e+46)","(7.457249926799751, 1.0029548543545537e+47)",,,,
25,2016-01-08 00:04:00.000,2016-01-08 00:21:00.000,2016-01-08 00:28:00.000,B4.2,766.41636,-283.90833,2481,2016-01-08 00:21:55.028,2016-01-08 00:11:20,,,2016-01-08 00:21:55.028,2016-01-08 00:21:55.028,46.83752381414967,1.8248021413238715e+45,7.1596243615136395,1.9443802712331943e+47,"(39.21894002782925, 2.986385135352002e+45)","(29.73304426016019, 5.5643566665025515e+45)","(21.23340516942226, 1.8903336711256993e+46)","(17.679477789486672, 2.95958474417726e+46)","(14.296710259406412, 4.3517399678870486e+46)","(12.415645280936646, 5.295406970688269e+46)","(11.991070750732952, 5.688851145912261e+46)",,,,
26,2016-01-08 04:09:00.000,2016-01-08 04:14:00.000,2016-01-08 04:18:00.000,B4.5,783.88548,-285.469044,2481,2016-01-08 04:13:04.141,2016-01-08 04:10:00,,,2016-01-08 04:13:04.141,2016-01-08 04:13:04.141,15.080160028270804,3.159964234721058e+45,9.4674802390725,1.5781717548395772e+47,"(13.898319114096408, 3.947219559323802e+45)","(13.218184106533263, 4.3390934487992096e+45)","(13.146197212635231, 5.0657925398366066e+45)","(13.150790185999803, 7.213720819435465e+45)","(12.299918563508623, 2.0097821311447592e+46)","(11.797928793483479, 4.2239608558947735e+46)","(11.634053842313586, 5.166859765595832e+46)",,,,
27,2016-01-08 11:23:00.000,2016-01-08 11:31:00.000,2016-01-08 11:41:00.000,B8.6,34.173561,98.861808,2482,2016-01-08 11:30:51.671,2016-01-08 11:21:40,,,2016-01-08 11:30:51.671,2016-01-08 11:30:51.671,9.002513540677736,2.6682448093285195e+47,8.689307496078946,5.3317265493883e+47,"(11.973948880228395, 1.435578012822572e+46)","(11.705964644976884, 1.660117318814345e+46)","(10.630981859796773, 2.910821014258934e+46)","(10.066286496512433, 4.104741659725268e+46)","(9.504935814269016, 7.258567715543797e+46)","(9.358364736665283, 1.1544690517097626e+47)","(9.34462854141877, 1.3895835464716898e+47)",,,,
28,2016-01-10 17:09:00.000,2016-01-10 17:13:00.000,2016-01-10 17:17:00.000,B4.2,-323.50602,315.378738,2483,2016-01-10 17:13:43.281,2016-01-10 17:10:20,,,2016-01-10 17:13:43.281,2016-01-10 17:13:43.281,9.051119107278106,4.770977600352362e+46,7.931168885695914,1.6850208877594181e+47,"(11.034625491624945, 1.5405711822473172e+46)","(10.197235094799629, 2.0787187457896485e+46)","(9.853347030112376, 3.224065606316578e+46)","(9.330614824115806, 4.5219813748249425e+46)","(9.05280871015221, 5.958186906317026e+46)","(8.916511819140775, 7.193945768701087e+46)","(8.892179533443455, 7.755606581408012e+46)",,,,
29,2016-01-11 11:18:00.000,2016-01-11 11:21:00.000,2016-01-11 11:24:00.000,B4.0,963.66108,-6.0292386,0,2016-01-11 11:21:45.288,2016-01-11 11:19:00.000,,,2016-01-11 11:21:45.288,2016-01-11 11:21:45.288,14.63527431758355,6.27606980354931e+45,8.652244181890962,1.964082687808623e+47,"(15.635559033002078, 4.5047570044730294e+45)","(14.746221732414726, 5.4700232413204934e+45)","(12.598155455157606, 7.931617899775837e+45)","(11.669237709576668, 1.345788910759901e+46)","(10.1908807684546, 3.2896456044037765e+46)","(9.60618468562489, 5.129072202921919e+46)","(9.455818406979267, 6.069827080087212e+46)",,,,
30,2016-01-11 17:00:00.000,2016-01-11 17:14:00.000,2016-01-11 17:33:00.000,B4.4,-153.038412,120.927024,2480,2016-01-11 17:11:35.078,2016-01-11 17:06:30,,,2016-01-11 17:11:35.078,2016-01-11 17:11:35.078,14.019057065321167,1.2154919857516023e+46,9.816651835397085,5.134217580209487e+46,"(15.625798506194842, 6.720122497652839e+45)","(15.807376466520916, 7.477905360496661e+45)","(14.271639263771569, 1.1556876656370065e+46)","(13.145446688824311, 1.5152009997878826e+46)","(12.20656982448022, 2.0642729121324973e+46)","(11.329601022924102, 2.7439675134559363e+46)","(11.066436911839666, 2.9803577758489027e+46)",,,,
31,2016-01-11 20:41:00.000,2016-01-11 21:14:00.000,2016-01-11 21:36:00.000,B4.9,-102.388524,87.690276,2480,2016-01-11 21:11:24.305,2016-01-11 21:11:10,,,2016-01-11 21:11:24.305,2016-01-11 21:11:24.305,19.330728638472177,1.2447749543359382e+45,,,"(nan, nan)","(19.330728638472177, 1.2447749543359382e+45)","(19.330728638472177, 1.2447749543359382e+45)","(19.330728638472177, 1.2447749543359382e+45)","(19.330728638472177, 1.2447749543359382e+45)","(19.330728638472177, 1.2447749543359382e+45)","(19.330728638472177, 1.2447749543359382e+45)",,,,
32,2016-01-12 09:03:00.000,2016-01-12 09:07:00.000,2016-01-12 09:12:00.000,B6.8,16.430988,338.379024,2483,2016-01-12 09:07:21.145,2016-01-12 09:04:00.000,,,2016-01-12 09:07:21.145,2016-01-12 09:07:21.145,,,11.053710495476603,3.018608386099987e+47,"(25.333652450758063, 1.6589748502764803e+45)","(24.210011104982566, 1.6589748502764803e+45)","(21.99583892175611, 1.8208405115885465e+45)","(19.75063383931359, 1.9696496570727252e+45)","(15.663313962574838, 7.275487652254662e+45)","(13.405603634536027, 2.71834199657329e+46)","(12.998752590294746, 4.783102573050387e+46)",,,,
33,2016-01-12 13:39:00.000,2016-01-12 13:53:00.000,2016-01-12 14:09:00.000,B5.3,17.0950746,89.333202,2480,2016-01-12 13:53:23.238,2016-01-12 13:45:40,,,2016-01-12 13:53:23.238,2016-01-12 13:53:23.238,8.861172831541309,2.8355511735317614e+46,8.169582740107536,2.699654269805852e+47,"(8.263517444674926, 3.731141361757466e+46)","(8.130398960435501, 4.150187857619999e+46)","(8.149843898521963, 4.955458851622951e+46)","(8.440659440721289, 5.423940855244196e+46)","(8.74571277874026, 6.736554156909258e+46)","(8.908894036000692, 8.457047179411375e+46)","(8.937529675621738, 9.32654190249717e+46)",,,,
