,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Flux NoSub,Peak Flux,Fancy Onset,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4
28,2016-01-10 17:09:00.000,2016-01-10 17:13:00.000,2016-01-10 17:17:00.000,B4.2,-323.50602,315.378738,2483,2016-01-10 17:13:43.281,2016-01-10 17:10:20,,7.931168885695914,2016-01-10 17:13:43.281,2016-01-10 17:13:43.281,,,,,,,,
29,2016-01-11 11:18:00.000,2016-01-11 11:21:00.000,2016-01-11 11:24:00.000,B4.0,963.66108,-6.0292386,0,2016-01-11 11:21:45.288,2016-01-11 11:19:00.000,,8.652244181890962,2016-01-11 11:21:45.288,2016-01-11 11:21:45.288,,15.635559033002078,,,,,,
30,2016-01-11 17:00:00.000,2016-01-11 17:14:00.000,2016-01-11 17:33:00.000,B4.4,-153.038412,120.927024,2480,2016-01-11 17:11:35.078,2016-01-11 17:06:30,,9.816651835397085,2016-01-11 17:11:35.078,2016-01-11 17:11:35.078,,,,,,,,
31,2016-01-11 20:41:00.000,2016-01-11 21:14:00.000,2016-01-11 21:36:00.000,B4.9,-102.388524,87.690276,2480,2016-01-11 21:11:24.305,2016-01-11 21:11:10,,,2016-01-11 21:11:24.305,2016-01-11 21:11:24.305,,,19.330728638472177,19.330728638472177,,,,
32,2016-01-12 09:03:00.000,2016-01-12 09:07:00.000,2016-01-12 09:12:00.000,B6.8,16.430988,338.379024,2483,2016-01-12 09:07:21.145,2016-01-12 09:04:00.000,,11.053710495476603,2016-01-12 09:07:21.145,2016-01-12 09:07:21.145,,,,,,,,
33,2016-01-12 13:39:00.000,2016-01-12 13:53:00.000,2016-01-12 14:09:00.000,B5.3,17.0950746,89.333202,2480,2016-01-12 13:53:23.238,2016-01-12 13:45:40,,8.169582740107536,2016-01-12 13:53:23.238,2016-01-12 13:53:23.238,,,,,,,,
34,2016-01-13 11:13:00.000,2016-01-13 11:22:00.000,2016-01-13 11:27:00.000,B2.5,236.378292,139.643058,2480,2016-01-13 11:20:47.521,2016-01-13 11:19:40,,3.6239452477683303,2016-01-13 11:20:47.521,2016-01-13 11:20:47.521,,,,,,,,
35,2016-01-13 13:33:00.000,2016-01-13 13:51:00.000,2016-01-13 14:10:00.000,B2.4,238.125252,401.100864,2483,2016-01-13 13:51:04.781,2016-01-13 13:41:00,,7.939545707563946,2016-01-13 13:51:04.781,2016-01-13 13:51:04.781,,,,,,,,
36,2016-01-13 14:57:00.000,2016-01-13 15:05:00.000,2016-01-13 15:13:00.000,B2.4,935.51022,-134.609556,0,2016-01-13 15:05:35.528,2016-01-13 15:05:00,,,2016-01-13 15:05:35.528,2016-01-13 15:05:35.528,,,,,,,,
37,2016-01-13 16:59:00.000,2016-01-13 17:05:00.000,2016-01-13 17:08:00.000,B2.3,926.94246,-132.12654,2482,2016-01-13 17:04:16.378,2016-01-13 16:59:00,,10.649393835033775,2016-01-13 17:04:16.378,2016-01-13 17:04:16.378,,,,,,,,
38,2016-01-13 18:27:00.000,2016-01-13 18:34:00.000,2016-01-13 18:41:00.000,B4.4,909.31332,-145.299036,0,2016-01-13 18:34:43.555,2016-01-13 18:27:30,,7.553350131583456,2016-01-13 18:34:43.555,2016-01-13 18:34:43.555,,,,,,,,
39,2016-01-13 23:51:00.000,2016-01-14 00:01:00.000,2016-01-14 00:11:00.000,B2.5,366.333864,120.350544,2480,2016-01-13 23:59:50.785,2016-01-13 23:52:00.000,,9.945884300789462,2016-01-13 23:59:50.785,2016-01-13 23:59:50.785,,,,,,,,
40,2016-01-14 10:04:00.000,2016-01-14 10:08:00.000,2016-01-14 10:17:00.000,B3.7,517.453626,131.952642,2480,2016-01-14 10:08:30.691,2016-01-14 10:05:40,,8.530034699342371,2016-01-14 10:08:30.691,2016-01-14 10:08:30.691,,,,,,,,
41,2016-01-15 02:34:00.000,2016-01-15 02:39:00.000,2016-01-15 02:41:00.000,C2.8,640.32126,125.751894,2480,2016-01-15 02:38:34.815,2016-01-15 02:35:00.000,,11.453990180696204,2016-01-15 02:38:34.815,2016-01-15 02:38:34.815,,,,,,,,
42,2016-01-15 12:10:00.000,2016-01-15 12:16:00.000,2016-01-15 12:18:00.000,C1.0,714.31872,103.6836,2480,2016-01-15 12:15:56.595,2016-01-15 12:11:50,,11.411555602564464,2016-01-15 12:15:56.595,2016-01-15 12:15:56.595,8.72000359201144,8.259962643056737,8.414500184352587,8.624566706942971,8.670581541052517,8.887740539211991,8.955413638930693,8.92538961799835
43,2016-01-15 15:18:00.000,2016-01-15 15:25:00.000,2016-01-15 15:31:00.000,C1.7,725.78592,102.831294,2480,2016-01-15 15:24:50.131,2016-01-15 15:15:30,,9.595129081175036,2016-01-15 15:24:50.131,2016-01-15 15:24:50.131,9.728273407152583,,,,,,,
44,2016-01-15 17:41:00.000,2016-01-15 17:45:00.000,2016-01-15 17:48:00.000,B4.4,725.00046,119.869716,2480,2016-01-15 17:44:55.071,2016-01-15 17:43:20,,9.092403171276796,2016-01-15 17:44:55.071,2016-01-15 17:44:55.071,8.245847563686198,5.7949155122372105,6.131263884522587,6.815105509891904,7.202627022154667,7.775607233320328,8.185608389318249,8.354485786903279
45,2016-01-15 19:56:00.000,2016-01-15 20:02:00.000,2016-01-15 20:05:00.000,B8.6,748.62654,84.030588,2480,2016-01-15 20:02:42.828,2016-01-15 19:57:10,,10.444650368841623,2016-01-15 20:02:42.828,2016-01-15 20:02:42.828,,,,,,,,
46,2016-01-15 20:09:00.000,2016-01-15 20:16:00.000,2016-01-15 20:36:00.000,B8.8,758.02464,116.870292,2480,2016-01-15 20:16:07.691,2016-01-15 20:11:00,,8.367953630250337,2016-01-15 20:16:07.691,2016-01-15 20:16:07.691,,,,,,,,
47,2016-01-15 21:59:00.000,2016-01-15 22:03:00.000,2016-01-15 22:05:00.000,C1.1,759.77688,66.085704,2480,2016-01-15 22:03:42.995,2016-01-15 22:00:30,,10.850962533362694,2016-01-15 22:03:42.995,2016-01-15 22:03:42.995,,,,,,,,
48,2016-01-16 00:14:00.000,2016-01-16 00:17:00.000,2016-01-16 00:19:00.000,B5.6,768.56526,115.976826,2480,2016-01-16 00:16:54.321,2016-01-16 00:13:50,,9.332517835899596,2016-01-16 00:16:54.321,2016-01-16 00:16:54.321,,,,,,,,
